titre,réalisateur,producteur,postal,debut,fin,latitude,longitude,rive,titleId,title,language,averageRating,numVotes,primaryName,birthYear,deathYear
french exit,azazel jacobs,Same Player,75012,2019-12-04,2019-12-04,48.85006697622016,2.376518535230019,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75001,2018-11-05,2018-11-06,48.86574411603937,2.327446234271997,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
hors normes,eric toledano et olivier nakache,ADNP QUAD FILMS,75019,2018-11-14,2018-11-14,48.87865523757628,2.370574346439601,droite,tt5039860,hors normes,\N,7.4,9080.0,Éric Toledano,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-03,2018-12-06,48.87988846874771,2.345638651005026,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-12-06,2018-12-06,48.88137903008482,2.340902040775606,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75012,2017-08-25,2017-08-26,48.83864104297332,2.424324762521703,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
tout le monde debout,franck dubosc,,75008,2017-09-13,2017-09-13,48.866699494682805,2.320534842202644,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75116,2017-07-17,2017-07-18,48.86005390194775,2.285130544247642,couronne,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
french exit,azazel jacobs,Same Player,75012,2019-12-05,2019-12-05,48.84928801148431,2.378252384526064,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
tout le monde debout,franck dubosc,Gaumont C/o Gaumont Production,75010,2017-05-19,2017-05-19,48.87403456783542,2.372645090554292,droite,tt5039860,tout le monde debout,\N,6.5,4603.0,Franck Dubosc,1963.0,3000.0
cold war,pawel pawlikowski,Philippe Lelièvre,75005,2017-07-21,2017-07-22,48.84516843702975,2.34507568384122,gauche,tt5039860,cold war,\N,7.5,56554.0,Pawel Pawlikowski,1957.0,3000.0
amanda,mikhael hers,Nord-Ouest films,75011,2017-08-04,2017-08-04,48.86534822720272,2.374386045127562,droite,tt5039860,amanda,\N,7.0,2857.0,Mikhaël Hers,1975.0,3000.0
mon inconnue,hugo gelin,ZAZI FILMS,75008,2018-02-15,2018-02-15,48.87770895742678,2.303979242393096,droite,tt5039860,mon inconnue,\N,6.9,4790.0,Hugo Gélin,1980.0,3000.0
dalida,lisa azuelos,BETHSABEE MUCHO,75016,2016-03-04,2016-03-04,48.84497699981972,2.266669999394985,droite,tt5039860,dalida,\N,6.9,3238.0,Lisa Azuelos,1965.0,3000.0
french exit,azazel jacobs,Same Player,75003,2019-12-03,2019-12-03,48.85686464771176,2.366019922322266,droite,tt5039860,french exit,\N,5.9,7142.0,Azazel Jacobs,1972.0,3000.0
overdrive,antonio negret,OVERDRIVE PRODUCTIONS,75007,2016-02-29,2016-02-29,48.85888099966902,2.322649000194077,gauche,tt5039860,overdrive,\N,5.3,14854.0,Antonio Negret,1982.0,3000.0
le meilleur reste à venir,matthieu delaporte et alexandre de la patelliere,CHAPTER 2,75009,2018-11-21,2018-11-23,48.87988846874771,2.345638651005026,droite,tt5039860,le meilleur reste à venir,\N,6.7,1997.0,Matthieu Delaporte,1971.0,3000.0
