imdb_search,title,date,parental_advisor,duree,genre,imdb_note,metascore,vote,resume
"https://www.imdb.com/search/title/?title=TOUT+S%27EST+BIEN+PASSE&release_date=2015-01-01,2022-12-31",Everything Went Fine,2021,Tous publics,113.0,Drama            ,6.8,67.0,1572.0,"When André, 85, has a stroke, Emmanuelle hurries to her father's bedside. Sick and half-paralyzed in his hospital bed, he asks Emmanuelle to help him end his life. But how can you honor such a request when it's your own father?"
"https://www.imdb.com/search/title/?title=Une+jeune+fille+qui+va+bien&release_date=2015-01-01,2022-12-31",A Radiant Girl,2021,Tous publics,98.0,"Drama, History            ",6.1,,165.0,"Paris, summer 1942. Irene is Jewish and French. She is 19 and living a life of passions - Her friendships, her new love, her desire to be an actress - Nothing suggests that Irene's time is running out."
"https://www.imdb.com/search/title/?title=French+Exit&release_date=2015-01-01,2022-12-31",French Exit,2020,R,113.0,"Comedy, Drama            ",5.9,56.0,7154.0,An aging Manhattan socialite existing on the last of her inheritance moves to a small Paris apartment with her son and cat.
"https://www.imdb.com/search/title/?title=HORS+NORMES&release_date=2015-01-01,2022-12-31",The Specials,2019,Tous publics,114.0,"Comedy, Drama            ",7.4,,9086.0,"The story of two men, educators of children and adolescents with autism."
"https://www.imdb.com/search/title/?title=DOCTEUR+%3F&release_date=2015-01-01,2022-12-31",A Good Doctor,2019,Tous publics,90.0,Comedy            ,6.5,,1827.0,"On Christmas Eve, Serge is the only on-call emergency doctor available. Struck by a crippling back-ache, he gets help from a pizza delivery boy who will need to step in the doctor's shoes."
"https://www.imdb.com/search/title/?title=JOUR+J&release_date=2015-01-01,2022-12-31",Wedding Unplanned,2017,TV-14,94.0,"Comedy, Drama            ",6.1,,3757.0,"When she discovers a wedding planner's business card, Alexia instantly says, ""YES"" to Mathias, unaware that it belongs to his mistress. The groom is now trapped between his bride and his lover who in charge of his unwanted marriage."
"https://www.imdb.com/search/title/?title=LE+REDOUTABLE&release_date=2015-01-01,2022-12-31",Godard Mon Amour,2017,R,107.0,"Biography, Comedy, Drama            ",6.6,55.0,5418.0,"In 1967, during the making of ""La Chinoise,"" film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her."
"https://www.imdb.com/search/title/?title=BEFIKRE&release_date=2015-01-01,2022-12-31",Carefree,2016,Not Rated,130.0,"Comedy, Drama, Romance            ",4.0,,7682.0,What starts as a crazy one-night stand ends up in a relationship. But Dharam and Shyra fall out of love just as quickly. Where will life take them now?
"https://www.imdb.com/search/title/?title=MARIE+FRANCINE&release_date=2015-01-01,2022-12-31",Marie-Francine,2017,TV-14,95.0,Comedy            ,5.6,,1245.0,A woman at the age of 50 moves back in with her parent after her husband leaves her for a younger woman.
"https://www.imdb.com/search/title/?title=LUZ&release_date=2015-01-01,2022-12-31",Feria: The Darkest Light,2022,TV-MA,50.0,"Crime, Drama, Fantasy            ",5.6,,2262.0,Two sisters see their world turned upside down when they discover a horrifying and otherworldly secret involving their parents.
"https://www.imdb.com/search/title/?title=JUST+DIVORCED&release_date=2015-01-01,2022-12-31", Mufti Menk,2006,,,Talk-Show            ,,,,        
