tconst,year,genre,numVotes,parentalAdvisor,duree,themaScore,imdbRating
tt0000574,1906,Adventure,781,Not Rated,70.0,0.1572682410478592,6.0
tt0151034,1932,Comedy,28,Tous publics,87.0,0.2212322354316711,5.7
tt0007361,1916,Fantasy,405,Unrated,63.0,0.196873739361763,6.3
tt0004525,1914,Drama,53,Tous publics,109.0,0.1305549591779709,5.9
tt0023636,1932,Drama,37,Passed,88.0,0.0846481472253799,6.4
tt0029079,1937,Drama,35,Approved,90.0,0.2099964916706085,7.0
tt0014646,1924,Adventure,2640,Not Rated,111.0,0.2268054634332656,6.4
tt0002101,1912,Drama,535,Unrated,100.0,0.2143657207489013,5.1
tt0002199,1912,Biography,593,TV-PG,71.0,0.2281166613101959,5.8
tt0014205,1923,Comedy,1016,Passed,110.0,0.1016174256801605,6.4
tt0015145,1924,Drama,492,Passed,106.0,0.0702967196702957,5.9
tt0016601,1926,Drama,15,Passed,75.0,0.1948497891426086,6.2
tt0017309,1926,Adventure,47,Passed,78.0,0.2319651544094085,5.1
tt0005719,1915,History,187,Not Rated,71.0,0.2435645163059234,5.5
tt0006688,1916,Adventure,189,Not Rated,50.0,0.2258044332265854,6.4
tt0007257,1916,Comedy,605,Passed,50.0,0.1889079958200454,5.5
tt0007368,1916,Drama,109,Passed,50.0,0.2303145080804824,6.4
tt0016641,1925,Drama,7650,Not Rated,143.0,0.2170723676681518,7.8
tt0019993,1929,Comedy,2059,Passed,130.0,0.2572839260101318,5.8
tt0021763,1931,Mystery,80,Passed,63.0,0.1634799391031265,5.0
tt0022398,1931,Adventure,39,Passed,59.0,0.1332716941833496,6.8
tt0023030,1932,Crime,60,Passed,67.0,0.1687988042831421,5.7
tt0023220,1932,Crime,23,Passed,67.0,0.2469543218612671,6.5
tt0023384,1932,Crime,223,Passed,75.0,0.3597031235694885,5.5
tt0023930,1933,Drama,40,Passed,63.0,0.1639246344566345,5.7
tt0024336,1933,Adventure,64,Passed,71.0,0.1300101280212402,5.8
tt0024787,1933,Crime,535,Passed,80.0,0.2464812844991684,4.8
tt0025178,1934,Drama,57,Passed,76.0,0.2336173057556152,6.3
tt0025323,1934,Drama,396,Approved,62.0,0.2044699192047119,4.3
tt0025513,1934,Comedy,114,Passed,70.0,0.2480938136577606,5.6
tt0026075,1935,Comedy,232,Passed,69.0,0.2741198539733886,6.0
tt0026106,1935,Crime,69,Approved,68.0,0.2894921898841858,6.2
tt0026562,1935,Drama,64,Passed,75.0,0.2365362793207168,6.6
tt0026819,1935,Comedy,414,Passed,66.0,0.1076005026698112,6.0
tt0026923,1935,Crime,31,Approved,60.0,0.3591278195381164,5.7
tt0027046,1935,Drama,26,Approved,82.0,0.264186292886734,5.5
tt0027482,1937,Crime,209,Passed,72.0,0.3155096173286438,5.7
tt0028484,1936,Crime,167,Approved,81.0,0.1439316719770431,6.6
tt0028578,1937,Drama,99,Approved,65.0,0.0376969724893569,5.8
tt0029757,1937,Comedy,119,Approved,62.0,0.1400709450244903,6.4
tt0029804,1937,Comedy,252,Passed,62.0,0.1879057139158249,5.7
tt0030109,1938,Crime,63,Approved,67.0,0.3048001527786255,4.9
tt0030502,1938,Crime,143,Passed,60.0,0.3525652289390564,5.1
tt0030862,1938,Comedy,124,Passed,71.0,0.1863826215267181,5.5
tt0031691,1939,Adventure,62,Passed,66.0,0.2452364563941955,6.5
tt0031938,1938,Drama,34,Approved,62.0,0.1531564593315124,5.8
tt0032191,1940,Adventure,24,Approved,74.0,0.2432656586170196,5.3
tt0032380,1940,Sport,63,Approved,61.0,0.1793361604213714,5.3
tt0032392,1940,Drama,28,Approved,65.0,0.224917858839035,6.1
tt0032608,1940,Drama,24,Approved,64.0,0.0991207510232925,4.6
tt0032749,1939,Adventure,37,Approved,61.0,0.1367685198783874,5.1
tt0032818,1940,Fantasy,4129,Approved,67.0,0.0735693126916885,6.0
tt0033401,1941,Comedy,31,Passed,68.0,0.1670596152544021,5.7
tt0034154,1941,Comedy,33,Approved,69.0,0.1171148046851158,6.5
tt0034684,1942,Adventure,55,Approved,61.0,0.1736167073249817,5.5
tt0035293,1942,Comedy,36,Approved,66.0,0.1932205259799957,6.7
tt0035442,1942,Drama,16,Approved,60.0,0.0421151146292686,4.4
tt0035455,1942,Crime,15,Passed,64.0,0.2315811663866043,5.7
tt0035738,1943,Comedy,27,Approved,69.0,0.224418967962265,6.7
tt0036762,1944,Comedy,98,Approved,72.0,0.2378827631473541,4.6
tt0037893,1945,Comedy,226,Passed,70.0,0.226904958486557,5.7
tt0039533,1947,Action,60,Passed,66.0,0.1781555861234665,6.2
tt0024532,1934,Drama,56,Approved,72.0,0.1936084777116775,5.2
tt0029565,1937,Crime,704,Approved,71.0,0.2547500431537628,5.7
tt0002423,1919,Biography,898,Not Rated,85.0,0.3645366132259369,6.6
tt0008854,1918,Drama,659,Approved,63.0,0.1666578650474548,5.4
tt0010281,1918,Comedy,1484,Not Rated,45.0,0.2007182836532592,6.8
tt0010600,1919,Comedy,2105,Not Rated,66.0,0.2393951565027237,7.4
tt0010962,1920,Biography,708,Not Rated,133.0,0.2488933503627777,6.5
tt0011742,1920,Drama,741,Not Rated,85.0,0.2787655591964721,6.1
tt0011960,1921,Comedy,1199,Not Rated,79.0,0.1655535697937011,6.9
tt0014416,1923,Comedy,420,Passed,90.0,0.0710913240909576,6.4
tt0018451,1927,Drama,1514,Passed,106.0,0.0902432054281234,7.6
tt0019852,1929,Drama,521,Passed,71.0,0.1215719282627105,6.7
tt0020112,1929,Musical,2351,Passed,107.0,0.0836500972509384,7.0
tt0021153,1930,Comedy,1331,Passed,90.0,0.0834337323904037,6.7
tt0021232,1930,Comedy,325,Passed,102.0,0.3682902455329895,5.8
tt0022074,1931,Musical,3790,Passed,93.0,0.2777918577194214,7.2
tt0023049,1932,Comedy,1801,Passed,88.0,0.1373913437128067,7.0
tt0023303,1932,Comedy,2556,Passed,78.0,0.2444121092557907,7.1
tt0023622,1932,Crime,14769,Passed,83.0,0.2968886792659759,8.0
tt0023940,1933,Comedy,6830,Not Rated,91.0,0.2130824327468872,7.4
tt0025493,1934,Comedy,2951,Passed,99.0,0.1667636632919311,7.2
tt0028575,1937,Comedy,2851,Approved,91.0,0.2337794303894043,7.2
tt0029929,1938,Comedy,3941,Passed,85.0,0.0411725714802742,7.2
tt0031725,1939,Comedy,21086,Not Rated,110.0,0.1152169853448867,7.8
tt0033045,1940,Comedy,32974,Not Rated,99.0,0.1602873355150222,8.1
tt0035446,1942,Comedy,36829,Passed,99.0,0.1596356928348541,8.2
tt0035979,1943,Comedy,11201,Passed,112.0,0.0615168772637844,7.4
tt0038040,1945,Comedy,1082,Passed,94.0,0.0225742794573307,6.7
tt0038419,1946,Romance,3666,Passed,100.0,0.2460839599370956,7.5
tt0040869,1948,Fantasy,794,Approved,89.0,0.1250613629817962,5.8
tt0010247,1919,Drama,1401,Not Rated,122.0,0.1163902655243873,7.1
tt0011157,1920,Comedy,942,Not Rated,106.0,0.2202988564968109,6.4
tt0014109,1924,Drama,1268,Not Rated,183.0,0.0929256379604339,7.0
tt0017449,1926,Drama,1251,Passed,62.0,0.1216154471039772,6.9
tt0017662,1927,Romance,222,Passed,67.0,0.3509817123413086,6.9
tt0017805,1927,Drama,23,Passed,70.0,0.1766059249639511,4.5
tt0020223,1928,Drama,776,Passed,135.0,0.1819686889648437,6.8
tt0020713,1930,Musical,320,Passed,69.0,0.2384832501411438,5.7
tt0021197,1930,Drama,456,Passed,59.0,0.1316099166870117,6.2
tt0021503,1930,Adventure,93,Passed,82.0,0.1542666107416153,5.1
tt0021917,1931,Comedy,409,Passed,72.0,0.1600172817707061,5.1
tt0022103,1931,Drama,689,Passed,81.0,0.0884237140417099,6.3
tt0022409,1930,Drama,163,Passed,56.0,0.128426507115364,4.3
tt0022827,1932,Crime,3536,Unrated,76.0,0.2525765001773834,6.4
tt0023525,1932,Crime,503,Not Rated,73.0,0.3789326548576355,6.4
tt0023731,1932,Drama,2763,Passed,78.0,0.1115839481353759,6.8
tt0024008,1933,Drama,1698,Passed,60.0,0.1858186423778534,6.7
tt0024075,1933,Comedy,610,Unrated,66.0,0.1928147673606872,6.4
tt0024210,1933,Crime,3486,Passed,73.0,0.2370038479566574,6.9
tt0024211,1933,Drama,612,Passed,69.0,0.2567640841007232,6.5
tt0024314,1933,Drama,1662,Passed,90.0,0.2379537671804428,6.9
tt0024368,1933,Mystery,5780,Passed,77.0,0.2838475704193115,6.8
tt0024915,1934,History,685,Passed,80.0,0.2517617344856262,6.1
tt0025330,1934,Crime,1917,Passed,67.0,0.27271369099617,6.6
tt0026121,1935,Crime,968,Approved,94.0,0.136594533920288,6.5
tt0026174,1935,Adventure,14431,Passed,119.0,0.2303827106952667,7.7
tt0026184,1935,Comedy,1037,Passed,80.0,0.1624441593885421,6.6
tt0026388,1935,Comedy,1631,Passed,82.0,0.1577677130699157,6.5
tt0026418,1935,Drama,386,Approved,89.0,0.1515967100858688,6.2
tt0026632,1935,Crime,283,Approved,78.0,0.2746126055717468,6.2
tt0027300,1936,Drama,1839,Passed,141.0,0.1520179808139801,6.3
tt0027367,1937,Crime,3274,Passed,83.0,0.2986373603343963,6.9
tt0027438,1936,Action,5023,Approved,115.0,0.2619698345661163,7.0
tt0028310,1937,Drama,575,Approved,80.0,0.1626044511795044,6.3
tt0028478,1936,Crime,2681,Passed,66.0,0.1456614434719085,6.6
tt0029080,1937,Drama,3602,Passed,102.0,0.1999099403619766,7.2
tt0029217,1937,Crime,4206,Approved,96.0,0.2133788019418716,7.1
tt0029263,1937,Drama,271,Passed,83.0,0.1885475814342498,6.3
tt0029843,1938,Action,50981,PG,102.0,0.1092760115861892,7.9
tt0029870,1938,Crime,21614,Passed,97.0,0.3475239276885986,7.9
tt0030149,1938,Music,1979,Approved,90.0,0.4163126349449157,6.9
tt0030151,1938,Comedy,1190,Approved,93.0,0.1076821908354759,6.3
tt0030192,1938,History,546,Approved,94.0,0.1419611871242523,6.2
tt0031103,1939,Crime,448,Approved,71.0,0.3228446245193481,6.1
tt0031212,1939,Drama,672,Approved,107.0,0.0573218017816543,6.6
tt0031336,1939,Drama,664,Approved,110.0,0.1338171809911728,6.4
tt0031826,1939,Biography,5669,Approved,106.0,0.2986122965812683,7.0
tt0033021,1940,War,3812,Not Rated,110.0,0.0690157413482666,6.2
tt0033028,1940,Adventure,9933,Approved,127.0,0.2081376314163208,7.6
tt0034162,1941,Adventure,3875,Approved,100.0,0.2750255465507507,7.5
tt0034578,1942,Action,1592,Approved,114.0,0.0444453842937946,6.4
tt0034583,1942,Romance,564918,PG,102.0,0.2060855329036712,8.5
tt0035575,1942,Biography,15657,Passed,126.0,0.3459435403347015,7.6
tt0036166,1943,History,947,Approved,124.0,0.1875887066125869,5.4
tt0036970,1944,Romance,405,Passed,102.0,0.202457457780838,6.0
tt0037166,1944,Adventure,4544,Passed,75.0,0.1115966215729713,6.8
tt0037913,1945,Drama,25896,Approved,111.0,0.1865534782409668,8.0
tt0038038,1945,Comedy,721,Approved,117.0,0.2141104340553283,7.0
tt0038776,1946,Biography,2862,Approved,128.0,0.4814682900905609,6.1
tt0039566,1947,Comedy,5593,Passed,118.0,0.1737476885318756,7.1
tt0039941,1947,Drama,3242,Approved,103.0,0.0909632518887519,7.2
tt0040745,1948,Musical,2351,Approved,99.0,0.2233475744724273,7.0
tt0041373,1949,Drama,2897,Approved,94.0,0.242749735713005,7.1
tt0041671,1949,Comedy,1440,Passed,101.0,0.0788474231958389,6.6
tt0042281,1950,Crime,3475,Not Rated,97.0,0.2992843389511108,7.5
tt0043153,1950,Biography,3491,Passed,112.0,0.220096081495285,7.2
tt0043553,1951,Romance,603,Approved,99.0,0.355267196893692,6.5
tt0043669,1951,Biography,1076,Passed,110.0,0.3225972056388855,6.8
tt0043687,1951,Biography,2105,Approved,107.0,0.1945141851902008,6.9
tt0044765,1952,Music,377,Approved,107.0,0.1828667372465133,5.7
tt0045198,1952,Comedy,497,Approved,109.0,0.4264663457870483,6.6
tt0046463,1953,Drama,1909,Approved,111.0,0.0700688809156417,6.8
tt0047673,1954,Musical,42546,Not Rated,120.0,0.3696999549865722,7.5
tt0048801,1955,Crime,9579,Not Rated,106.0,0.2047977149486541,7.4
tt0049002,1956,Biography,346,Approved,104.0,0.1440662145614624,5.9
tt0049718,1956,Crime,436,Approved,95.0,0.1731067299842834,6.9
