tconst,originalTitle,startYear,genre,averageRating,numVotes,primaryName,parental_advisor,duree,resume,genres,themaScore
tt5865132,"The Bowden Dynasty: A Story of Faith, Family & Football",2017,,8.6,30,Rob Harvell,,,,['Documentary'],0.0
tt5865370,"Ingen ska skada dig, inte ens jag",2017,,4.6,24,Elijah Debot,,,,"['Drama', 'Thriller']",0.0
tt5865754,The Old Man and the Sea: Return to Cuba,2018,,6.8,11,Matt Dean,,76.0,"Life on the sea is beautiful and deadly, and we see both sides of that story through the eyes of a man who's sailed his entire life. Featuring Finbar Gittelman and his beloved Schooner Wolf...                ",['Documentary'],0.0
tt5866298,kingdom of ants,2016,,5.7,7,Adnan Osman,,70.0,"A Yezidi girl who is a victim of the Islamic State (ISIS) atrocities. After 11 months of captivity, she gives birth to an illegitimate child whose father is unknown. The girl is then saved ...                ","['Drama', 'Family', 'War']",0.0
tt5866300,The Wife,2021,,4.5,324,Sarmad Khan,,109.0,A lonely bushwoman struggles to raise her children and run the family farm while her husband is away.,"['Crime', 'Horror', 'Romance']",0.0
tt5866708,National Theatre Live: Of Mice and Men,2014,,7.7,156,Anna D. Shapiro,,149.0,This landmark revival of Nobel Prize winner John Steinbeck's play is a powerful portrait of the American spirit and a heart-breaking testament to the bonds of friendship.,['Drama'],0.0
tt5867036,Roads to Olympia,2019,,8.6,78,Ramazan Nanayev,,98.0,"Three young athletes face cultural oppression, intolerance and poverty, as they pursue a shared dream: to compete in the Olympic Games.","['Drama', 'Sport']",0.0
tt5867314,The Empty Man,2020,,6.2,27503,David Prior,R,137.0,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.","['Horror', 'Mystery', 'Thriller']",0.0
tt5867416,Arddhanaari,2016,,7.7,54,Bhanushanker Chowdary,,,,['Thriller'],0.0
tt5867468,Kochaj!,2016,,2.4,170,Marta Plucinska,,88.0,        ,"['Comedy', 'Romance']",0.0
tt5867548,The Songs of Old Europe: Ancient Belarusian Folk Songs,2016,,8.8,5,Volya Dzemka,G,61.0,Documentary about vanishing cultural traditions of Belarus,['Documentary'],0.0
tt5868168,Year Six,2014,,3.9,43,Austin Barbetto,,56.0,"Daniel struggles to survive in a post-apocalyptic world, while coping with the loss of everything he once knew and loved.",['Sci-Fi'],0.0
tt5868596,The Ukrainians,2015,,8.6,202,Ivan Yasniy,,85.0,This is a story of a new Ukrainian army and new Ukrainian society being born. After Maidan revolution Ukrainian volunteer warriors defend Donetsk Airport from pro-Russian separatists and Russian militaries.,"['Documentary', 'War']",0.0
tt8108190,Myth,2018,,8.6,123,Ivan Yasniy,,95.0,"This unique Hollywood story is the life-and-times chronicle of one of our greatest directors, Oskar Knight.","['Biography', 'Documentary']",0.0
tt5868596,The Ukrainians,2015,,8.6,202,Leonid Kanter,,85.0,This is a story of a new Ukrainian army and new Ukrainian society being born. After Maidan revolution Ukrainian volunteer warriors defend Donetsk Airport from pro-Russian separatists and Russian militaries.,"['Documentary', 'War']",0.0
tt8108190,Myth,2018,,8.6,123,Leonid Kanter,,95.0,"This unique Hollywood story is the life-and-times chronicle of one of our greatest directors, Oskar Knight.","['Biography', 'Documentary']",0.0
tt5868910,Perfect,2016,,7.1,63,Jérémie Battaglia,,96.0,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.","['Documentary', 'Sport']",0.0
tt5868938,A Message Through Time,2019,,5.5,30,Douglas Dunklin,TV-Y,60.0,"A modern girl moves to a new school and is bullied. She throws a page from her journal into a hollow tree, and a monk from medieval England receives it. They begin a correspondence through time to help each other.","['Drama', 'Family']",0.0
tt5868992,Grim Weaver,2016,,4.3,29,Ernest Serrano,,115.0,"Their marriages were perfect.... or so it seemed.... They had beautiful wives, talented children, powerful careers, wealth in abundance. But, lurking beneath the glossy exteriors of their ...                ",['Horror'],0.0
tt6576586,The Job Interview,2017,,7.8,19,Ernest Serrano,,22.0,"""The Job Interview"" takes an inside look at the world where the words you say, the clothes you wear, and even the expression on your face can mean the difference between success and failure...                ",['Sci-Fi'],0.0
tt5869224,El diablo blanco,2019,,5.2,40,Ignacio Rogers,,83.0,A camping trip for a group of friends turns into an unexpected nightmare when one of them encounters a mysterious stranger.,"['Drama', 'Horror', 'Thriller']",0.0
