year,genre,parentalAdvisor,duree,themaScore,imdbRating
1941,Comedy,Approved,82.0,0.2102061212062835,6.6
1964,Comedy,Approved,89.0,0.1370723694562912,5.1
2011,Comedy,Not Rated,125.0,0.2840456962585449,8.0
1977,Horror,Not Rated,89.0,0.237045481801033,5.7
1973,Horror,Not Rated,89.0,0.1970571875572204,4.8
1988,Romance,PG,86.0,0.1856917589902877,5.1
2015,Drama,PG,74.0,0.1482326686382293,4.9
2008,Documentary,Not Rated,130.0,0.2486108392477035,7.5
1998,Romance,Not Rated,82.0,0.2283798456192016,5.8
2002,Thriller,R,87.0,0.2791524529457092,2.8
2013,Drama,Not Rated,108.0,0.1482326686382293,3.8
2009,Thriller,R,91.0,0.2751194834709167,6.2
2008,Thriller,R,89.0,0.3092556595802307,5.1
2003,Drama,R,85.0,0.2390516400337219,6.0
1974,Romance,PG,90.0,0.3601643443107605,5.0
2002,Adventure,R,91.0,0.2329944372177124,5.4
1957,Adventure,Approved,135.0,0.1652451157569885,7.1
2006,Documentary,Not Rated,105.0,0.0826051235198974,6.8
2015,Comedy,Not Rated,92.0,0.243649274110794,5.4
2011,Crime,R,81.0,0.2211378216743469,4.0
2015,Comedy,Not Rated,90.0,0.1789256185293197,6.4
2006,Romance,PG,95.0,0.2283798456192016,6.0
1952,Adventure,Approved,114.0,0.1917513012886047,6.1
2012,Drama,Not Rated,135.0,0.1322280913591385,6.9
2013,Drama,R,93.0,0.3080091476440429,5.9
2011,Drama,Not Rated,103.0,0.1432130634784698,5.4
2009,Horror,R,81.0,0.1172237768769264,2.5
2012,Drama,Not Rated,109.0,0.3080091476440429,3.0
1995,Romance,PG,118.0,0.2740757465362549,6.9
2004,Adventure,Not Rated,84.0,0.2206243276596069,7.7
2007,Horror,Not Rated,90.0,0.2448174357414245,5.4
1943,Drama,Approved,90.0,0.2790223956108093,6.1
2016,Comedy,Not Rated,95.0,0.2381253540515899,5.5
1992,Thriller,R,95.0,0.2618995606899261,4.1
1948,Drama,Approved,85.0,0.1895540505647659,6.5
1943,Comedy,Approved,83.0,0.0575362518429756,5.7
1988,Drama,R,90.0,0.1482326686382293,4.6
2012,Documentary,Not Rated,90.0,0.4714620113372803,5.8
2000,Drama,PG-13,98.0,0.2533191740512848,4.5
1968,Crime,R,87.0,0.3050963878631592,4.8
1995,Comedy,R,108.0,0.2267080247402191,5.7
1971,Drama,R,75.0,0.1665446162223816,4.9
1950,Drama,Approved,107.0,0.093424305319786,7.1
1984,Crime,R,91.0,0.4038982689380646,6.3
1960,Crime,Not Rated,75.0,0.3789243698120117,6.9
1998,Drama,PG-13,97.0,0.2088904976844787,4.2
2008,Comedy,R,118.0,0.1745179295539856,5.6
1963,Horror,Not Rated,93.0,0.1447584331035614,5.6
2012,Documentary,Not Rated,113.0,0.3174052834510803,7.1
1991,Drama,R,91.0,0.1597594022750854,6.1
2011,Comedy,PG-13,124.0,0.2402277290821075,6.8
1956,Drama,Approved,96.0,0.1298990398645401,6.0
2013,Comedy,Not Rated,137.0,0.2174075245857238,3.3
1962,Crime,Not Rated,80.0,0.403910756111145,7.2
1973,Horror,R,80.0,0.2072437554597854,4.8
1987,Thriller,R,110.0,0.2515695691108703,6.1
1977,Crime,PG,86.0,0.163813367486,4.2
1963,Drama,Approved,134.0,0.1895760744810104,6.8
2005,Romance,Not Rated,81.0,0.3594965636730194,5.6
1956,Crime,Not Rated,100.0,0.3221046030521393,6.9
1985,Adventure,PG-13,118.0,0.2434109300374984,5.3
1978,Romance,PG,98.0,0.3617520928382873,6.6
1969,Comedy,Not Rated,95.0,0.1378403455018997,8.0
1952,Comedy,Approved,81.0,0.0616845749318599,6.6
1999,Documentary,R,94.0,0.2508464455604553,6.4
